species,Longitude,Latitude
Platycodon gradiflorus,113.8,35.2
Platycodon gradiflorus,124.45,46.87
Platycodon gradiflorus,110.35,22.72
Platycodon gradiflorus,120.75,31.65
Platycodon gradiflorus,104.95,25.78
Platycodon gradiflorus,130.83,47.58
Platycodon gradiflorus,91.14,29.65
Platycodon gradiflorus,114.85,34.07
Platycodon gradiflorus,112.1,34.15
Platycodon gradiflorus,118.18,29.78
Platycodon gradiflorus,101.97,30.05
Platycodon gradiflorus,107.97,26.58
Platycodon gradiflorus,123.98,44.28
Platycodon gradiflorus,108.93,30.3
Platycodon gradiflorus,117.02,30.1
Platycodon gradiflorus,125.03,41.73
Platycodon gradiflorus,119.03,29.6
Platycodon gradiflorus,113.32,32.72
Platycodon gradiflorus,113.43,35.23
Platycodon gradiflorus,111.62,33.78
Platycodon gradiflorus,119.33,41.6
Platycodon gradiflorus,111.07,25.93
Platycodon gradiflorus,117.72,41.32
Platycodon gradiflorus,126.28,46.27
Platycodon gradiflorus,114.57,29.03
Platycodon gradiflorus,123.07,41.22
Platycodon gradiflorus,112.55,28.25
Platycodon gradiflorus,114.53,32.2
Platycodon gradiflorus,116.33,31.4
Platycodon gradiflorus,103.13,28.33
Platycodon gradiflorus,103.62,31
Platycodon gradiflorus,114.37,36.35
Platycodon gradiflorus,111.67,35.3
Platycodon gradiflorus,112.33,36.5
Platycodon gradiflorus,111.85,35.97
Platycodon gradiflorus,105.37,28.77
Platycodon gradiflorus,101.5,27.43
Platycodon gradiflorus,102.82,30.37
Platycodon gradiflorus,119.93,47.18
Platycodon gradiflorus,109.85,29
Platycodon gradiflorus,126.73,42.97
Platycodon gradiflorus,112.55,25.28
Platycodon gradiflorus,117.95,40.18
Platycodon gradiflorus,113.67,36.57
Platycodon gradiflorus,119.77,40
Platycodon gradiflorus,112.82,39.52
Platycodon gradiflorus,109.52,31.88
Platycodon gradiflorus,110.33,33.7
Platycodon gradiflorus,119.63,41.4
Platycodon gradiflorus,106.52,33.92
Platycodon gradiflorus,116.83,40.37
Platycodon gradiflorus,101.02,30.03
Platycodon gradiflorus,110,25.8
Platycodon gradiflorus,110.63,24.63
Platycodon gradiflorus,107.58,26.5
Platycodon gradiflorus,110.8,24.17
Platycodon gradiflorus,110.67,25.62
Platycodon gradiflorus,128.2,41.42
Platycodon gradiflorus,109.82,27.2
Platycodon gradiflorus,108.12,27.03
Platycodon gradiflorus,105.6,33.33
Platycodon gradiflorus,110.33,31.05
Platycodon gradiflorus,104.68,32.95
Platycodon gradiflorus,114.03,29.55
Platycodon gradiflorus,114.52,37.75
Platycodon gradiflorus,122.82,42
Platycodon gradiflorus,120.72,40.62
Platycodon gradiflorus,122.9,46.73
Platycodon gradiflorus,110.52,24.2
Platycodon gradiflorus,107.53,24.98
Platycodon gradiflorus,111.3,24.53
Platycodon gradiflorus,109.6,25.78
Platycodon gradiflorus,118.63,37.96
Platycodon gradiflorus,119.8,29.97
Platycodon gradiflorus,105.18,37.52
Platycodon gradiflorus,115.5,39.35
Platycodon gradiflorus,108.23,23.64
Platycodon gradiflorus,114.62,31.28
Platycodon gradiflorus,118.43,29.87
Platycodon gradiflorus,119.2,35.75
Platycodon gradiflorus,117.13,36.18
Platycodon gradiflorus,118.4,30.7
Platycodon gradiflorus,112.43,33.5
Platycodon gradiflorus,114.87,31.63
Platycodon gradiflorus,130.28,47.31
Platycodon gradiflorus,123.5,43.52
Platycodon gradiflorus,122.7,40.88
Platycodon gradiflorus,90.88,44.39
Platycodon gradiflorus,121.182968,31.075451
Platycodon gradiflorus,118.496574,32.16049
Platycodon gradiflorus,120.117635,30.255051
Platycodon gradiflorus,110.063211,31.279923
Platycodon gradiflorus,118.964531,32.103449
Platycodon gradiflorus,114.320398,22.602937
Platycodon gradiflorus,116.482067,40.944637
Platycodon gradiflorus,119.458655,34.765842
Platycodon gradiflorus,99.639008,27.902738
Platycodon gradiflorus,115.686223,39.922093
Platycodon gradiflorus,116.04477,40.087197
Platycodon gradiflorus,115.95898,39.92653
Platycodon gradiflorus,116.221192,40.381678
